ID;Name;Price;Smart Rating;Quality ;Stars;Number of Reviews;Reviews
1;2016 Subaru Legacy;21745;100;73;4.3;3;17,4-5,4-19,5
2;2016 Honda Pilot;30145;100;69;3.9;15;34,3-6,6-11,4-9,3-2,5-20,2-3,5-27,5-35,5-10,2-24,5-16,4-12,2-11,5-31,4
3;2016 Honda Odyssey;29400;99;69;3.5;6;14,2-24,4-30,4-7,1-9,5-34,5
4;2016 Subaru Crosstrek;21595;99;73;4.6;5;3,5-18,4-4,5-17,5-19,4
5;2013 Porsche 911;84300;60;70;4;1;16,4
6;2008 Mini Cooper;21950;60;46;4.3;4;2,2.3-5,5-14,4.9-20,5
7;2007 Nissan Altima;17950;60;59;4.1;7;22,4.9-12,4.6-2,4.3-5,3.4-11,4-37,3.3-8,4
8;2016 Acura ILX;27900;97;65;3.4;5;9,3-34,2-26,5-18,2-29,5
9;2003 Chevrolet;50535;70;59;4.9;40;1,4.5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,4.9-10,5-11,5-12,5-13,5-14,5-15,4.9-16,5-17,5-18,4.8-19,5-20,5-21,4.9-22,4.8-23,5-24,4.8-25,5-26,5-27,5-28,5-29,5-30,5-31,5-32,5-33,5-34,5-35,5-36,5-37,5-38,4.9-39,5-40,3.5
10;2015 Jeep Cherokee;23095;92;39;2.3;14;6,1-7,2-8,3-9,3-10,4.9-11,1-23,2-24,2-25,3-26,2-30,1-31,5-32,1-33,1
11;2016 Toyota Camry;23070;98;74;3.3;20;35,4-36,4-37,4-38,4-39,4-40,4-3,1-4,3-5,3-6,5-7,3-14,3-15,4-16,1-17,3-18,4-19,4-20,3-21,5-22,1-23,1
12;1996 Plymouth Grand;10385;70;39;3.1;11;9,4.6-20,1.5-21,3.9-22,3.3-23,3.8-24,1-25,1.9-26,4.9-5,2.3-6,3.6-7,3
13;2010 BMW X5;51300;64;66;4.9;33;13,4-14,4.8-15,5-16,5-17,4.5-18,5-19,5-40,5-41,4.9-42,5-43,4.8-44,5-5,5-6,5-7,4.3-8,5-9,4.6-10,5-11,4.9-12,5-24,4.8-26,5-27,5-28,5-29,5-30,5-31,5-32,5-33,5-34,5-35,5
14;2005 Jaguar XJ-Series;61330;64;93;4.9;18;3,5-4,5-5,5-10,4.4-11,4.9-12,4.9-13,4.9-20,4.9-21,5-22,4.8-23,5-40,5-41,5-42,4.9-43,5-44,4.9-45,4.9-46,4.4
15;2011 BMW 3 Series;44150;73;66;4.9;14;29,5-30,4.8-31,4.9-32,5-33,5-2,4.4-3,5-4,5-5,5-6,4.9-7,5-8,5-9,4.9-10,4.6
